127.0.0.1 - - [06/Jun/2024:12:21:22 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:36:58 +0530] "GET /ShoppingApp/getProductsFromCart?pid=1&name=Bag&cost=500.0&discount=5 HTTP/1.1" 400 838
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:39:40 +0530] "GET /ShoppingApp/getProductsFromCart?pid=1&name=Bag&cost=500.0&discount=5 HTTP/1.1" 400 838
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:39:44 +0530] "GET /ShoppingApp/getProductsFromCart?pid=1&name=Bag&cost=500.0&discount=5 HTTP/1.1" 400 838
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:41:24 +0530] "GET /ShoppingApp/getProductsFromCart?pid=1&name=Bag&cost=500.0&discount=5 HTTP/1.1" 400 838
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:43:17 +0530] "GET /ShoppingApp/getProductsFromCart?pid=1&name=Bag&cost=500.0&discount=5 HTTP/1.1" 400 838
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:43:25 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 6082
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:43:26 +0530] "GET /ShoppingApp/getProductsFromCart?pro_id=1&pro_name=Bag&pro_price=500.0&pro_discount=5 HTTP/1.1" 400 844
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:50:29 +0530] "GET /ShoppingApp/getProductsFromCart?pro_id=1&pro_name=Bag&pro_price=500.0&pro_discount=5 HTTP/1.1" 400 844
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:50:33 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 6475
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:50:37 +0530] "GET /ShoppingApp/getProductsFromCart?pro_id=1&pro_name=Bag&pro_price=500.0&quantity=2&pro_discount=5 HTTP/1.1" 400 844
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:52:56 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 6475
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:53:02 +0530] "GET /ShoppingApp/getProductsFromCart?pro_id=1&pro_name=Bag&pro_price=500.0&quantity=1&pro_discount=5 HTTP/1.1" 400 844
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:53:35 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 6491
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:53:40 +0530] "GET /ShoppingApp/getProductsFromCart?pro_id=1&pro_name=Bag&pro_price=500.0&pro_quantity=1&pro_discount=5 HTTP/1.1" 500 4034
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:56:24 +0530] "GET /ShoppingApp/getProductsFromCart?pro_id=1&pro_name=Bag&pro_price=500.0&pro_quantity=1&pro_discount=5 HTTP/1.1" 500 4034
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:56:32 +0530] "GET /ShoppingApp/getProductsFromCart?pro_id=1&pro_name=Bag&pro_price=500.0&pro_quantity=1&pro_discount=5 HTTP/1.1" 500 4034
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:56:32 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 6491
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:56:36 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 6491
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:56:37 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 6491
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:56:37 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 6491
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:56:37 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 6491
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:56:37 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 6491
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:56:38 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 6491
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:56:38 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 6491
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:56:38 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 6491
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:56:42 +0530] "GET /ShoppingApp/getProductsFromCart?pro_id=1&pro_name=Bag&pro_price=500.0&pro_quantity=1&pro_discount=5 HTTP/1.1" 500 4034
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:57:22 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 6491
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:57:30 +0530] "GET /ShoppingApp/getProductsFromCart?pro_id=1&pro_name=Bag&pro_price=500.0&pro_quantity=2&pro_discount=5 HTTP/1.1" 500 4019
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:58:26 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 6491
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:58:29 +0530] "GET /ShoppingApp/getProductsFromCart?pro_id=1&pro_name=Bag&pro_price=500.0&pro_quantity=1&pro_discount=5 HTTP/1.1" 500 4019
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:01:46 +0530] "GET /ShoppingApp/getProductsFromCart?pro_id=1&pro_name=Bag&pro_price=500.0&pro_quantity=1&pro_discount=5 HTTP/1.1" 500 4019
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:08:51 +0530] "GET /ShoppingApp/getProductsFromCart?pro_id=1&pro_name=Bag&pro_price=500.0&pro_quantity=1&pro_discount=5 HTTP/1.1" 500 4019
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:10:37 +0530] "GET /ShoppingApp/getProductsFromCart?pro_id=1&pro_name=Bag&pro_price=500.0&pro_quantity=1&pro_discount=5 HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:39:41 +0530] "GET /ShoppingApp/add_products_to_cart.jsp HTTP/1.1" 200 3587
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:39:48 +0530] "GET /ShoppingApp/add_products_to_cart.jsp HTTP/1.1" 200 3587
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:49:28 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:49:33 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 6491
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:49:38 +0530] "GET /ShoppingApp/getProductsFromCart?pro_id=1&pro_name=Bag&pro_price=500.0&pro_quantity=1&pro_discount=5 HTTP/1.1" 200 1520
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:49:40 +0530] "GET /ShoppingApp/add_products_to_cart.jsp HTTP/1.1" 200 3587
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:49:43 +0530] "GET /ShoppingApp/back? HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:49:50 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:49:51 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:49:52 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:49:52 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:49:52 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:50:49 +0530] "GET /ShoppingApp/home?username=mantr&password=mantr HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:50:52 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:57:12 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:57:16 +0530] "GET /ShoppingApp/home?username=mantr&password=mantr HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:57:18 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:57:28 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:57:29 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:57:29 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:57:29 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:57:30 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:57:30 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:57:30 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:57:30 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:57:30 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:57:30 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:57:31 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:57:31 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:57:32 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:57:32 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:57:34 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 6491
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:58:03 +0530] "GET /ShoppingApp/getProductsFromCart?pro_id=1&pro_name=Bag&pro_price=500.0&pro_quantity=1&pro_discount=5 HTTP/1.1" 200 1520
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:58:04 +0530] "GET /ShoppingApp/add_products_to_cart.jsp HTTP/1.1" 200 3587
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:58:10 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:59:47 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:59:48 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:59:48 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:59:48 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:59:48 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:59:48 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:59:49 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:15:59:49 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:00:31 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:00:32 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:00:32 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:00:32 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:00:33 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:00:37 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:00:39 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:03:40 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 4775
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:04:01 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 4787
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:05:13 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 4658
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:05:18 +0530] "GET /ShoppingApp/add_products_to_cart.jsp HTTP/1.1" 200 3587
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:15:19 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:16:09 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:24:00 +0530] "GET /ShoppingApp/home?username=mantr&password=mantr HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:24:25 +0530] "GET /ShoppingApp/displayBill? HTTP/1.1" 500 4016
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:25:43 +0530] "GET /ShoppingApp/displayBill? HTTP/1.1" 500 4016
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:25:44 +0530] "GET /ShoppingApp/displayBill? HTTP/1.1" 500 4016
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:25:44 +0530] "GET /ShoppingApp/displayBill? HTTP/1.1" 500 4016
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:27:42 +0530] "GET /ShoppingApp/displayBill? HTTP/1.1" 500 4016
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:27:44 +0530] "GET /ShoppingApp/displayBill? HTTP/1.1" 500 4016
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:27:44 +0530] "GET /ShoppingApp/displayBill? HTTP/1.1" 500 4016
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:27:44 +0530] "GET /ShoppingApp/displayBill? HTTP/1.1" 500 4016
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:27:44 +0530] "GET /ShoppingApp/displayBill? HTTP/1.1" 500 4016
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:27:54 +0530] "GET /ShoppingApp/home?username=mantr&password=mantr HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:27:58 +0530] "GET /ShoppingApp/displayBill? HTTP/1.1" 500 4016
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:28:34 +0530] "GET /ShoppingApp/home?username=mantr&password=mantr HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:28:35 +0530] "GET /ShoppingApp/displayBill? HTTP/1.1" 500 4016
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:28:38 +0530] "GET /ShoppingApp/displayBill? HTTP/1.1" 500 4016
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:28:57 +0530] "GET /ShoppingApp/displayBill? HTTP/1.1" 500 4016
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:29:11 +0530] "GET /ShoppingApp/home?username=mantr&password=mantr HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:29:13 +0530] "GET /ShoppingApp/displayBill? HTTP/1.1" 500 4017
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:30:13 +0530] "GET /ShoppingApp/displayBill? HTTP/1.1" 500 4017
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:30:14 +0530] "GET /ShoppingApp/displayBill? HTTP/1.1" 500 4017
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:30:22 +0530] "GET /ShoppingApp/home?username=mantr&password=mantr HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:30:23 +0530] "GET /ShoppingApp/displayBill? HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:31:10 +0530] "GET /ShoppingApp/displayBill? HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:40:52 +0530] "GET /ShoppingApp/displayBill? HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:40:53 +0530] "GET /ShoppingApp/displayBill? HTTP/1.1" 200 1246
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:40:53 +0530] "GET /ShoppingApp/displayBill? HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:40:53 +0530] "GET /ShoppingApp/displayBill? HTTP/1.1" 200 1246
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:40:54 +0530] "GET /ShoppingApp/displayBill? HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:40:54 +0530] "GET /ShoppingApp/displayBill? HTTP/1.1" 200 1246
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:40:54 +0530] "GET /ShoppingApp/displayBill? HTTP/1.1" 200 1243
0:0:0:0:0:0:0:1 - - [06/Jun/2024:16:40:54 +0530] "GET /ShoppingApp/displayBill? HTTP/1.1" 200 1245
